ID,Americas,EU,APAC,"missing
completely",Dupes,Database,,Schema,Type,Name,"comments
in column
AF?","# queries
","# users
","storage
in GB","mapped
AURORA
source product","mapped
AURORA
data product",comments,Data Model Availability,UAT Start Date,Go-live Date,,PRE-FILTER
ENRICH;BV_VEEVA_CRM_PRODUCT_VOD__C_EC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_PRODUCT_VOD__C_EC1,no,45836,37,1.568,Vault CRM,Product 1.0 (Vault CRM),,Available,8/25/25,9/15/25,,Veeva
ENRICH;BV_VEEVA_VAULT_COUNTRY__V,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_VAULT_COUNTRY__V,no,45509,16,0,Vault CRM,,,,,,,Veeva
ENRICH;BV_VEEVA_CRM_GROUP_PC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_GROUP_PC1,no,44597,7,0.01,Vault CRM,,,,,,,Veeva
ENRICH;BV_VEEVA_CRM_PRODUCT_VOD__C_EC2,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_PRODUCT_VOD__C_EC2,no,44279,32,2.466,Vault CRM,Product 1.0 (Vault CRM),,Available,8/25/25,9/15/25,,Veeva
ENRICH;BV_VEEVA_LINK_ASSOCIATION,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_LINK_ASSOCIATION,no,42508,29,0.196,Veeva Link,Scientific Engagement 1.0,,tbd,11/27/25,12/22/25,,Veeva
ENRICH;BV_VEEVA_CRM_ACCOUNT_MEC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_ACCOUNT_MEC1,no,37908,41,25.82,Vault CRM,Customer 0.1 (Veeva CRM),,Available,Completed,2/19/25,,Veeva
ENRICH;BV_VEEVA_CRM_RECORDTYPE_MEC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_RECORDTYPE_MEC1,yes,37501,23,0.001,Vault CRM,will not be covered by Aurora,GB: Vault does not work with RTs anymore,,,,,Veeva
MODEL;S_VAULT_IMCM_PRODUCT,0,0,0,1,,CPH_DB_PROD,,MODEL,BASE TABLE,S_VAULT_IMCM_PRODUCT,no,37234,21,0.001,Vault,,,,,,,Veeva
ENRICH;BV_VEEVA_CRM_ACCOUNT_EC2,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_ACCOUNT_EC2,no,37108,51,65.449,Vault CRM,Customer 0.1 (Veeva CRM),,Available,Completed,2/19/25,,Veeva
ENRICH;BV_VEEVA_CRM_RECORDTYPE_EC2,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_RECORDTYPE_EC2,yes,36999,20,0.001,Vault CRM,will not be covered by Aurora,GB: Vault does not work with RTs anymore,,,,,Veeva
